127.0.0.1 - - [16/Oct/2017:23:04:24 -0200] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:04:24 -0200] "GET /Chamados/Login HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:04:36 -0200] "POST /Chamados/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:04:36 -0200] "GET /Chamados/Login HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:14:15 -0200] "GET /Chamados/Login HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:14:22 -0200] "POST /Chamados/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:14:22 -0200] "GET /Chamados/Login?msg=error HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:15:50 -0200] "POST /Chamados/Login?msg=error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:15:50 -0200] "GET /Chamados/ListarChamados HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:25:44 -0200] "GET /Chamados/ListarChamados HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:25:49 -0200] "GET /Chamados/Login HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:25:55 -0200] "POST /Chamados/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:25:55 -0200] "GET /Chamados/ListarChamados HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:25:56 -0200] "GET /Chamados/Login?msg=logoff HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:26:07 -0200] "GET /ListarChamados HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:26:34 -0200] "GET /Chamados/Login HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:26:41 -0200] "POST /Chamados/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:26:41 -0200] "GET /Chamados/ListarChamados HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:26:43 -0200] "GET /Chamados/Login?msg=logoff HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:46:47 -0200] "GET /Chamados/Login HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:46:54 -0200] "POST /Chamados/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:46:54 -0200] "GET /Chamados/ListarChamados HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:46:55 -0200] "GET /Chamados/Login?msg=logoff HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:47:03 -0200] "GET /Chamados/Login HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:54:34 -0200] "GET /Chamados/Login HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [16/Oct/2017:23:54:39 -0200] "GET /Logoff HTTP/1.1" 404 1075
